drugA,drugB,label
DB00731,DB01242,1
DB01156,DB00625,1
DB00700,DB00628,1
DB00339,DB01149,1
DB04896,DB06216,1
DB00822,DB08860,1
DB00323,DB00555,1
DB00176,DB00428,1
DB01156,DB01338,1
DB00458,DB06663,1
DB00241,DB01175,1
DB00983,DB01104,1
DB01151,DB00727,1
DB01242,DB12141,1
DB00836,DB08815,1
DB01100,DB01184,1
DB09030,DB00313,1
DB00490,DB01046,1
DB01174,DB00376,1
DB06700,DB13616,1
DB00543,DB12231,1
DB00726,DB04877,1
DB13370,DB00370,1
DB00850,DB00318,1
DB01238,DB01452,1
DB00543,DB13653,1
DB00934,DB01206,1
DB06654,DB00656,1
DB00182,DB06228,1
DB01151,DB00207,1
DB08954,DB01224,1
DB00408,DB00960,1
DB00285,DB00796,1
DB05372,DB08815,1
DB00313,DB00750,1
DB14213,DB00458,1
DB01220,DB00540,1
DB01151,DB01105,1
DB00555,DB01488,1
DB01418,DB00176,1
DB00490,DB00226,1
DB01037,DB01440,1
DB01435,DB00829,1
DB00822,DB00661,1
DB00321,DB02587,1
DB13274,DB01151,1
DB00656,DB09223,1
DB00829,DB05294,1
DB08735,DB01174,1
DB01018,DB14184,1
DB14185,DB00748,1
DB01018,DB01099,1
DB01247,DB13507,1
DB00849,DB00477,1
DB00836,DB00623,1
DB00565,DB00623,1
DB00934,DB05258,1
DB13555,DB01224,1
DB01151,DB01044,1
DB00458,DB01351,1
DB01247,DB09304,1
DB02925,DB00458,1
DB06684,DB06414,1
DB01608,DB00472,1
DB09287,DB00555,1
DB07477,DB01149,1
DB08918,DB01137,1
DB06201,DB00477,1
DB01202,DB00472,1
DB11827,DB00502,1
DB01238,DB01255,1
DB00458,DB01103,1
DB00900,DB14185,1
DB00934,DB01281,1
DB00656,DB00346,1
DB01104,DB00686,1
DB08059,DB14509,1
DB01306,DB00246,1
DB00540,DB00820,1
DB01250,DB00829,1
DB00656,DB00275,1
DB08925,DB00679,1
DB01037,DB00340,1
DB00404,DB00280,1
DB01238,DB13099,1
DB01466,DB01623,1
DB00182,DB00512,1
DB00555,DB04576,1
DB00580,DB01151,1
DB01576,DB13812,1
DB00726,DB00723,1
DB00482,DB00476,1
DB13400,DB01242,1
DB06216,DB00262,1
DB11757,DB00477,1
DB01238,DB14031,1
DB13538,DB00422,1
DB06815,DB08918,1
DB00377,DB14509,1
DB01104,DB00435,1
DB01336,DB06077,1
DB01175,DB12480,1
DB00363,DB13505,1
DB00934,DB04572,1
DB00726,DB00985,1
DB08910,DB00752,1
DB00490,DB09395,1
DB11552,DB00472,1
DB00688,DB00623,1
DB01174,DB08889,1
DB00752,DB13522,1
DB00704,DB13605,1
DB09173,DB00490,1
DB08985,DB00334,1
DB00752,DB06152,1
DB00344,DB00387,1
DB00611,DB08815,1
DB00679,DB11699,1
DB06700,DB00383,1
DB00555,DB00277,1
DB00231,DB00433,1
DB01623,DB01556,1
DB00275,DB00679,1
DB13762,DB00182,1
DB09013,DB00476,1
DB01100,DB08897,1
DB01149,DB04920,1
DB12923,DB00363,1
DB00752,DB09477,1
DB00543,DB13457,1
DB08918,DB00065,1
DB08918,DB08994,1
DB14185,DB01204,1
DB04599,DB06077,1
DB11587,DB14509,1
DB00738,DB08918,1
DB00715,DB06160,1
DB08815,DB00972,1
DB00215,DB08955,1
DB00752,DB04878,1
DB00543,DB15335,1
DB00334,DB00850,1
DB00321,DB09039,1
DB00877,DB01149,1
DB00363,DB11770,1
DB08918,DB09022,1
DB14185,DB14208,1
DB00250,DB00715,1
DB14207,DB00334,1
DB01182,DB00313,1
DB01555,DB08815,1
DB01218,DB06216,1
DB00528,DB00490,1
DB08992,DB00176,1
DB00614,DB00458,1
DB12941,DB01224,1
DB00683,DB00370,1
DB01104,DB01156,1
DB00476,DB11114,1
DB01224,DB08900,1
DB09027,DB09068,1
DB01242,DB14669,1
DB12752,DB01175,1
DB00742,DB00334,1
DB00679,DB00951,1
DB09075,DB00490,1
DB00741,DB01104,1
DB00477,DB08932,1
DB08840,DB09068,1
DB02489,DB00850,1
DB13673,DB01156,1
DB00490,DB01352,1
DB09256,DB00476,1
DB00176,DB01625,1
DB00502,DB09163,1
DB00679,DB00725,1
DB01183,DB00555,1
DB01558,DB00321,1
DB00158,DB01242,1
DB13470,DB01242,1
DB01149,DB09104,1
DB01576,DB13769,1
DB00178,DB00679,1
DB00555,DB01180,1
DB14482,DB01151,1
DB00363,DB01063,1
DB11365,DB00334,1
DB00182,DB00476,1
DB00657,DB06700,1
DB00679,DB11555,1
DB01267,DB06016,1
DB01623,DB07780,1
DB00366,DB14509,1
DB14499,DB01175,1
DB01174,DB13691,1
DB12163,DB08918,1
DB13910,DB00370,1
DB13617,DB00490,1
DB00543,DB12093,1
DB00752,DB09236,1
DB08439,DB00476,1
DB00849,DB01037,1
DB00623,DB01484,1
DB00323,DB01224,1
DB00540,DB00776,1
DB00176,DB13174,1
DB00408,DB11549,1
DB00715,DB00446,1
DB00817,DB00502,1
DB01435,DB01242,1
DB00246,DB00732,1
DB00404,DB01239,1
DB00934,DB00393,1
DB00321,DB01429,1
DB00433,DB06603,1
DB00540,DB00424,1
DB00237,DB00458,1
DB00918,DB01247,1
DB13196,DB00176,1
DB00370,DB11638,1
DB13530,DB00285,1
DB09128,DB00425,1
DB09223,DB00458,1
DB08918,DB09111,1
DB01156,DB13455,1
DB00285,DB06594,1
DB00344,DB11609,1
DB00934,DB00482,1
DB00594,DB06700,1
DB01100,DB06413,1
DB01177,DB00404,1
DB09128,DB00338,1
DB09289,DB01149,1
DB00543,DB00559,1
DB01224,DB04864,1
DB01199,DB09068,1
DB11362,DB00334,1
DB08807,DB06700,1
DB09068,DB04216,1
DB00313,DB00584,1
DB06204,DB00502,1
DB01558,DB06077,1
DB00564,DB01255,1
DB06684,DB14509,1
DB01012,DB00752,1
DB00679,DB01018,1
DB00370,DB05294,1
DB01242,DB00255,1
DB00700,DB00472,1
DB06700,DB00991,1
DB13324,DB00543,1
DB01174,DB00940,1
DB00285,DB12376,1
DB00734,DB00065,1
DB01247,DB00653,1
DB00363,DB00675,1
DB00985,DB01100,1
DB01224,DB13295,1
DB09089,DB01175,1
DB00458,DB13451,1
DB04557,DB00404,1
DB01100,DB09198,1
DB00202,DB01247,1
DB13160,DB00370,1
DB00809,DB01151,1
DB13544,DB00363,1
DB00313,DB13254,1
DB00368,DB01149,1
DB00477,DB00327,1
DB14059,DB01224,1
DB00757,DB01104,1
DB06735,DB00472,1
DB09488,DB00472,1
DB01242,DB01616,1
DB01238,DB13612,1
DB00734,DB06470,1
DB00241,DB00704,1
DB00831,DB12230,1
DB01247,DB14050,1
DB04829,DB00363,1
DB00656,DB01224,1
DB00370,DB01162,1
DB00458,DB01380,1
DB00185,DB01100,1
DB01255,DB13860,1
DB06216,DB04843,1
DB00808,DB01175,1
DB13695,DB00704,1
DB00734,DB00864,1
DB06077,DB06144,1
DB00346,DB00679,1
DB13629,DB00555,1
DB06684,DB00401,1
DB00434,DB00726,1
DB00558,DB00458,1
DB01224,DB00792,1
DB00354,DB00215,1
DB00934,DB06217,1
DB00679,DB06287,1
DB01255,DB07402,1
DB13928,DB06216,1
DB00623,DB09190,1
DB00334,DB13687,1
DB01104,DB00554,1
DB00726,DB06660,1
DB00472,DB14059,1
DB01224,DB00065,1
DB00476,DB11127,1
DB01018,DB01428,1
DB06684,DB00514,1
DB14754,DB01149,1
DB00715,DB01100,1
DB00704,DB06144,1
DB00850,DB13823,1
DB00433,DB08918,1
DB00490,DB06706,1
DB01238,DB14065,1
DB01267,DB12710,1
DB00409,DB00176,1
DB01068,DB04832,1
DB00285,DB00026,1
DB00363,DB01259,1
DB15035,DB00363,1
DB00430,DB01149,1
DB14185,DB14633,1
DB08918,DB08828,1
DB00200,DB00934,1
DB01623,DB04325,1
DB00404,DB13377,1
DB02852,DB00458,1
DB09068,DB09203,1
DB13762,DB01242,1
DB00684,DB00502,1
DB00704,DB01253,1
DB08865,DB01037,1
DB08890,DB00477,1
DB01339,DB06684,1
DB00182,DB09103,1
DB01161,DB01242,1
DB00369,DB00313,1
DB00433,DB00844,1
DB00420,DB00829,1
DB00436,DB00734,1
DB00475,DB00462,1
DB00934,DB01135,1
DB00270,DB00476,1
DB00961,DB06700,1
DB00313,DB13662,1
DB00752,DB01463,1
DB01067,DB01238,1
DB01267,DB13429,1
DB01357,DB00752,1
DB00252,DB00850,1
DB01501,DB00321,1
DB00734,DB06733,1
DB06608,DB00623,1
DB00285,DB00985,1
DB01100,DB01297,1
DB09068,DB00773,1
DB06684,DB13413,1
DB00829,DB01589,1
DB00313,DB08167,1
DB00404,DB13662,1
DB01255,DB08997,1
DB00370,DB08986,1
DB00440,DB00679,1
DB00656,DB01244,1
DB01224,DB01295,1
DB00433,DB12070,1
DB00726,DB09217,1
DB01255,DB13203,1
DB14185,DB00800,1
DB12025,DB01174,1
DB14018,DB01149,1
DB06016,DB12545,1
DB01100,DB01097,1
DB14011,DB01100,1
DB01255,DB04812,1
DB00743,DB00321,1
DB01267,DB13453,1
DB00726,DB01589,1
DB01320,DB00370,1
DB01175,DB00562,1
DB12825,DB01224,1
DB00623,DB06264,1
DB01267,DB01501,1
DB01618,DB01148,1
DB13362,DB01175,1
DB01018,DB13581,1
DB04823,DB01175,1
DB00540,DB06290,1
DB00427,DB01104,1
DB01454,DB06016,1
DB09128,DB00169,1
DB09068,DB13692,1
DB00465,DB00422,1
DB04918,DB00555,1
DB00862,DB01100,1
DB13406,DB00752,1
DB00416,DB01156,1
DB00822,DB00252,1
DB01418,DB00540,1
DB14185,DB12070,1
DB00176,DB13928,1
DB01151,DB06699,1
DB09414,DB00246,1
DB06684,DB08864,1
DB01151,DB09247,1
DB00365,DB01104,1
DB00952,DB01224,1
DB08875,DB00321,1
DB01232,DB00363,1
DB00914,DB00472,1
DB00493,DB01224,1
DB00285,DB13546,1
DB02568,DB00476,1
DB09241,DB00215,1
DB12314,DB00679,1
DB11995,DB00176,1
DB00472,DB00013,1
DB01037,DB04876,1
DB09270,DB00477,1
DB08907,DB01242,1
DB00421,DB01156,1
DB00408,DB11552,1
DB08827,DB00715,1
DB01239,DB01623,1
DB00321,DB00790,1
DB06684,DB00517,1
DB00475,DB12710,1
DB12752,DB00370,1
DB00843,DB06016,1
DB00822,DB01224,1
DB09205,DB01255,1
DB00738,DB00363,1
DB00628,DB13770,1
DB13989,DB00246,1
DB00477,DB05386,1
DB00628,DB01261,1
DB00475,DB14509,1
DB01589,DB00215,1
DB00311,DB00285,1
DB00408,DB12930,1
DB00490,DB08964,1
DB09414,DB00321,1
DB01242,DB04831,1
DB00762,DB00215,1
DB00502,DB06600,1
DB00612,DB00477,1
DB00363,DB01176,1
DB01178,DB01224,1
DB09068,DB00621,1
DB06684,DB09363,1
DB00292,DB06684,1
DB00387,DB01618,1
DB01018,DB06582,1
DB00285,DB14724,1
DB00861,DB00363,1
DB00831,DB01624,1
DB08797,DB08815,1
DB00829,DB13369,1
DB09128,DB13575,1
DB00331,DB01242,1
DB09013,DB00490,1
DB01149,DB09164,1
DB00816,DB06684,1
DB00246,DB00425,1
DB01238,DB09029,1
DB00734,DB00748,1
DB00285,DB09462,1
DB00321,DB01105,1
DB00477,DB09164,1
DB00555,DB12007,1
DB08860,DB00715,1
DB00490,DB09081,1
DB01418,DB00477,1
DB00737,DB06216,1
DB12130,DB00734,1
DB00404,DB02852,1
DB11686,DB00476,1
DB00433,DB06738,1
DB00262,DB01018,1
DB01224,DB13694,1
DB00540,DB00860,1
DB01036,DB00476,1
DB12645,DB14185,1
DB01151,DB06763,1
DB14185,DB14652,1
DB00715,DB00827,1
DB01009,DB01238,1
DB00725,DB00704,1
DB00540,DB00579,1
DB00540,DB00590,1
DB00215,DB13542,1
DB00370,DB00393,1
DB09287,DB00477,1
DB00408,DB01553,1
DB04953,DB00215,1
DB14509,DB14210,1
DB01104,DB06442,1
DB00246,DB09249,1
DB00554,DB00752,1
DB00370,DB00475,1
DB01267,DB04844,1
DB00313,DB01062,1
DB13783,DB06700,1
DB00708,DB00715,1
DB00458,DB12883,1
DB00404,DB01489,1
DB00628,DB01355,1
DB13619,DB00831,1
DB00679,DB01489,1
DB09480,DB06016,1
DB00567,DB14509,1
DB00850,DB04917,1
DB00363,DB00698,1
DB06700,DB00001,1
DB06700,DB09317,1
DB00405,DB06016,1
DB00373,DB01151,1
DB00158,DB01156,1
DB01156,DB12184,1
DB13955,DB00344,1
DB08815,DB12308,1
DB01174,DB00694,1
DB00768,DB01623,1
DB00727,DB00458,1
DB11431,DB01100,1
DB00877,DB00623,1
DB09081,DB14509,1
DB01255,DB00719,1
DB04861,DB00831,1
DB00469,DB00734,1
DB01014,DB01224,1
DB01224,DB11581,1
DB12515,DB00477,1
DB06700,DB11598,1
DB01255,DB11556,1
DB00691,DB00215,1
DB12130,DB01267,1
DB00182,DB00572,1
DB01169,DB01151,1
DB14509,DB00201,1
DB00555,DB01534,1
DB00461,DB00458,1
DB00742,DB00540,1
DB00215,DB11824,1
DB06529,DB00321,1
DB00953,DB01267,1
DB00313,DB00463,1
DB00490,DB14094,1
DB00850,DB05232,1
DB00726,DB11235,1
DB08815,DB09280,1
DB00472,DB08986,1
DB12927,DB00934,1
DB00679,DB00708,1
DB01224,DB01588,1
DB00182,DB06441,1
DB00850,DB01488,1
DB06684,DB00727,1
DB06016,DB01231,1
DB00363,DB00338,1
DB01104,DB01278,1
DB00776,DB01151,1
DB00502,DB06216,1
DB00726,DB09286,1
DB00555,DB03313,1
DB00850,DB13954,1
DB00404,DB13940,1
DB00496,DB01175,1
DB06282,DB09068,1
DB14752,DB00831,1
DB01255,DB00808,1
DB00476,DB11198,1
DB01267,DB13396,1
DB00182,DB00922,1
DB00934,DB01497,1
DB00344,DB01356,1
DB00404,DB00514,1
DB01267,DB09133,1
DB08895,DB00246,1
DB00818,DB00476,1
DB00555,DB01608,1
DB00714,DB00215,1
DB06738,DB01247,1
DB00726,DB13507,1
DB06684,DB00243,1
DB09224,DB00246,1
DB01551,DB00679,1
DB00322,DB01018,1
DB00422,DB00392,1
DB06077,DB01026,1
DB01255,DB06372,1
DB00752,DB01176,1
DB00829,DB00796,1
DB00502,DB09219,1
DB00679,DB04872,1
DB00313,DB01201,1
DB00477,DB04851,1
DB00726,DB06150,1
DB00554,DB09068,1
DB01039,DB00215,1
DB00628,DB06262,1
DB01156,DB01420,1
DB00490,DB11750,1
DB01056,DB00176,1
DB12531,DB00370,1
DB00699,DB01018,1
DB01104,DB13233,1
DB14185,DB00350,1
DB06283,DB00363,1
DB01267,DB13293,1
DB06077,DB00477,1
DB04920,DB06700,1
DB00734,DB12273,1
DB00472,DB11312,1
DB09068,DB12610,1
DB13402,DB01149,1
DB00323,DB06077,1
DB00344,DB08909,1
DB09527,DB01238,1
DB01189,DB01175,1
DB00656,DB00063,1
DB00215,DB12289,1
DB01068,DB13695,1
DB00404,DB13872,1
DB09062,DB00477,1
DB01267,DB06412,1
DB13667,DB00628,1
DB00476,DB06779,1
DB00321,DB00353,1
DB01149,DB05767,1
DB00370,DB06579,1
DB12531,DB00176,1
DB09220,DB00679,1
DB00175,DB01267,1
DB00543,DB01426,1
DB00476,DB01215,1
DB01576,DB00494,1
DB00456,DB06700,1
DB00555,DB00901,1
DB00361,DB00715,1
DB06594,DB01149,1
DB11827,DB00829,1
DB00500,DB14185,1
DB01008,DB00370,1
DB00726,DB11575,1
DB01242,DB00234,1
DB01149,DB00055,1
DB12515,DB00752,1
DB01242,DB00491,1
DB00334,DB00270,1
DB00334,DB13695,1
DB00934,DB08841,1
DB01175,DB13455,1
DB08815,DB01152,1
DB00829,DB01359,1
DB00543,DB00005,1
DB00255,DB01267,1
DB01100,DB08904,1
DB00788,DB01156,1
DB00813,DB00628,1
DB00447,DB00476,1
DB01172,DB01149,1
DB00656,DB12111,1
DB00334,DB09241,1
DB14126,DB00555,1
DB09068,DB00213,1
DB00356,DB00715,1
DB00344,DB08957,1
DB13873,DB14509,1
DB06127,DB00363,1
DB00555,DB01251,1
DB00472,DB12093,1
DB12212,DB00679,1
DB01509,DB00370,1
DB00734,DB00531,1
DB12231,DB00472,1
DB00483,DB09128,1
DB00347,DB00370,1
DB06216,DB06413,1
DB06670,DB00176,1
DB00850,DB13940,1
DB08815,DB09308,1
DB00408,DB13695,1
DB00490,DB08910,1
DB01151,DB14634,1
DB00752,DB00316,1
DB09068,DB01095,1
DB01172,DB00404,1
DB00321,DB00481,1
DB00458,DB12089,1
DB01174,DB12799,1
DB06016,DB08940,1
DB09128,DB04920,1
DB00822,DB01234,1
DB00543,DB00580,1
DB01037,DB11943,1
DB01174,DB09038,1
DB00047,DB09128,1
DB01149,DB13940,1
DB00540,DB09234,1
DB00475,DB00514,1
DB00726,DB01497,1
DB00771,DB01068,1
DB00787,DB00477,1
DB01618,DB09243,1
DB08860,DB00752,1
DB00445,DB08815,1
DB00853,DB09068,1
DB01142,DB01577,1
DB00364,DB00490,1
DB13530,DB06700,1
DB00850,DB13160,1
DB01168,DB01175,1
DB00475,DB09194,1
DB00543,DB00026,1
DB14627,DB00540,1
DB00831,DB01614,1
DB00909,DB01175,1
DB00182,DB00759,1
DB00543,DB00888,1
DB00492,DB00628,1
DB00176,DB00875,1
DB00458,DB06209,1
DB00321,DB13675,1
DB00831,DB02587,1
DB00831,DB13604,1
DB00994,DB00176,1
DB00246,DB06470,1
DB01064,DB00679,1
DB04918,DB00628,1
DB01242,DB13728,1
DB06155,DB00433,1
DB08918,DB14066,1
DB06237,DB01224,1
DB11390,DB00679,1
DB00334,DB08868,1
DB13313,DB01224,1
DB00934,DB01022,1
DB01242,DB13675,1
DB08951,DB00321,1
DB00246,DB13166,1
DB00555,DB00962,1
DB00734,DB13648,1
DB01156,DB13520,1
DB01356,DB00370,1
DB00543,DB06756,1
DB01238,DB13557,1
DB00344,DB00914,1
DB08962,DB00715,1
DB00656,DB13407,1
DB01247,DB11699,1
DB00938,DB01576,1
